# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:ppp'
# Event count (approx.): 17266751320924
#
# Overhead  Command     Shared Object        Symbol                                        
# ........  ..........  ...................  ..............................................
#
     0.20%  translator  perf-29433.map       [.] src_0x2d508
     0.20%  translator  perf-29433.map       [.] src_0x17aebc
     0.20%  translator  perf-29433.map       [.] src_0x2a4e10
     0.20%  translator  perf-29433.map       [.] src_0x36200
     0.20%  translator  perf-29433.map       [.] src_0x17be04
     0.20%  translator  perf-29433.map       [.] src_0x2a3ee8
     0.20%  translator  perf-29433.map       [.] src_0x118b2c
     0.19%  translator  perf-29433.map       [.] src_0x193714
     0.19%  translator  perf-29433.map       [.] src_0x2a3f1c
     0.19%  translator  perf-29433.map       [.] src_0x4d538
     0.19%  translator  perf-29433.map       [.] src_0x1a10ac
     0.19%  translator  perf-29433.map       [.] src_0x361ac
     0.19%  translator  perf-29433.map       [.] src_0x959e0
     0.19%  translator  perf-29433.map       [.] src_0x95ab0
     0.19%  translator  perf-29433.map       [.] src_0x9f680
     0.19%  translator  perf-29433.map       [.] src_0x2a3f14
     0.19%  translator  perf-29433.map       [.] src_0x50e14
     0.18%  translator  perf-29433.map       [.] src_0x2a1ac8
     0.18%  translator  perf-29433.map       [.] src_0x95a54
     0.18%  translator  perf-29433.map       [.] src_0x4be0c
     0.18%  translator  perf-29433.map       [.] src_0x9f6bc
     0.18%  translator  perf-29433.map       [.] src_0x19f4c4
     0.18%  translator  perf-29433.map       [.] src_0x36194
     0.18%  translator  perf-29433.map       [.] src_0x95814
     0.18%  translator  perf-29433.map       [.] src_0x26322c
     0.18%  translator  perf-29433.map       [.] src_0x194840
     0.17%  translator  perf-29433.map       [.] src_0x2a3ebc
     0.17%  translator  perf-29433.map       [.] src_0x2a3ef4
     0.17%  translator  perf-29433.map       [.] src_0x2a1a4c
     0.17%  translator  perf-29433.map       [.] src_0xc0fd8
     0.17%  translator  perf-29433.map       [.] src_0x1936f8
     0.16%  translator  perf-29433.map       [.] src_0x263b64
     0.16%  translator  perf-29433.map       [.] src_0x4bcf4
     0.16%  translator  perf-29433.map       [.] src_0x262eb0
     0.16%  translator  perf-29433.map       [.] src_0x14134c
     0.16%  translator  perf-29433.map       [.] src_0x9f6a0
     0.16%  translator  perf-29433.map       [.] src_0x50df4
     0.16%  translator  perf-29433.map       [.] src_0x263140
     0.16%  translator  perf-29433.map       [.] src_0x959d8
     0.16%  translator  perf-29433.map       [.] src_0x603ac
     0.16%  translator  perf-29433.map       [.] src_0x17be14
     0.16%  translator  perf-29433.map       [.] src_0x194a40
     0.16%  translator  perf-29433.map       [.] src_0x193690
     0.16%  translator  perf-29433.map       [.] src_0x17ae40
     0.16%  translator  perf-29433.map       [.] src_0x3613c
     0.16%  translator  perf-29433.map       [.] src_0x61440
     0.16%  translator  perf-29433.map       [.] src_0x19f454
     0.15%  translator  perf-29433.map       [.] src_0x50db8
     0.15%  translator  perf-29433.map       [.] src_0x17d2b4
     0.15%  translator  perf-29433.map       [.] src_0x119270
     0.15%  translator  perf-29433.map       [.] src_0x959f4
     0.15%  translator  perf-29433.map       [.] src_0x194588
     0.15%  translator  perf-29433.map       [.] src_0x4d57c
     0.15%  translator  perf-29433.map       [.] src_0x19367c
     0.15%  translator  perf-29433.map       [.] src_0x263c4
     0.14%  translator  perf-29433.map       [.] src_0x119250
     0.14%  translator  perf-29433.map       [.] src_0x2a1ab0
     0.14%  translator  perf-29433.map       [.] src_0x1937b4
     0.14%  translator  perf-29433.map       [.] src_0x263b1c
     0.14%  translator  perf-29433.map       [.] src_0x1a0d98
     0.14%  translator  perf-29433.map       [.] src_0x2a3f24
     0.14%  translator  perf-29433.map       [.] src_0x3655c
     0.14%  translator  perf-29433.map       [.] src_0x2a193c
     0.14%  translator  perf-29433.map       [.] src_0x2a1944
     0.14%  translator  perf-29433.map       [.] src_0x9e1fc
     0.14%  translator  perf-29433.map       [.] src_0x26321c
     0.14%  translator  perf-29433.map       [.] src_0x2a1a44
     0.14%  translator  perf-29433.map       [.] src_0x29fdec
     0.14%  translator  perf-29433.map       [.] src_0x17be20
     0.14%  translator  perf-29433.map       [.] src_0x60408
     0.14%  translator  perf-29433.map       [.] src_0x50dd0
     0.14%  translator  perf-29433.map       [.] src_0x2a4e18
     0.13%  translator  perf-29433.map       [.] src_0x2a3980
     0.13%  translator  perf-29433.map       [.] src_0x263068
     0.13%  translator  perf-29433.map       [.] src_0x9f674
     0.13%  translator  perf-29433.map       [.] src_0x1a104c
     0.13%  translator  perf-29433.map       [.] src_0x266a0
     0.13%  translator  perf-29433.map       [.] src_0x26948
     0.13%  translator  perf-29433.map       [.] src_0x2a2108
     0.13%  translator  perf-29433.map       [.] src_0x194028
     0.13%  translator  perf-29433.map       [.] src_0x95a8c
     0.13%  translator  perf-29433.map       [.] src_0x958f4
     0.13%  translator  perf-29433.map       [.] src_0x263bc
     0.13%  translator  perf-29433.map       [.] src_0x958e4
     0.13%  translator  perf-29433.map       [.] src_0x2532c
     0.13%  translator  perf-29433.map       [.] src_0x25340
     0.13%  translator  perf-29433.map       [.] src_0x19bfd8
     0.13%  translator  perf-29433.map       [.] src_0x6146c
     0.13%  translator  perf-29433.map       [.] src_0x958e8
     0.12%  translator  perf-29433.map       [.] src_0x3619c
     0.12%  translator  perf-29433.map       [.] src_0x192628
     0.12%  translator  perf-29433.map       [.] src_0x13d2c8
     0.12%  translator  perf-29433.map       [.] src_0x29eab8
     0.12%  translator  perf-29433.map       [.] src_0x263b30
     0.12%  translator  perf-29433.map       [.] src_0x2a3f34
     0.12%  translator  perf-29433.map       [.] src_0x9f694
     0.12%  translator  perf-29433.map       [.] src_0x26c04
     0.12%  translator  perf-29433.map       [.] src_0x263a68
     0.12%  translator  perf-29433.map       [.] src_0x2a3988
     0.12%  translator  perf-29433.map       [.] src_0x4d7a8
     0.12%  translator  perf-29433.map       [.] src_0x19259c
     0.12%  translator  perf-29433.map       [.] src_0x2a3f2c
     0.12%  translator  perf-29433.map       [.] src_0x2d5a0
     0.12%  translator  perf-29433.map       [.] src_0x9f6b0
     0.12%  translator  perf-29433.map       [.] src_0x1a10b4
     0.12%  translator  perf-29433.map       [.] src_0x29e9e8
     0.12%  translator  perf-29433.map       [.] src_0x1a10c8
     0.12%  translator  perf-29433.map       [.] src_0x26698
     0.12%  translator  perf-29433.map       [.] src_0x2a571c
     0.12%  translator  perf-29433.map       [.] src_0x9f3f4
     0.12%  translator  perf-29433.map       [.] src_0x4d568
     0.12%  translator  perf-29433.map       [.] src_0x60390
     0.12%  translator  perf-29433.map       [.] src_0x19369c
     0.12%  translator  perf-29433.map       [.] src_0x61470
     0.12%  translator  perf-29433.map       [.] src_0x1937c0
     0.12%  translator  perf-29433.map       [.] src_0x263a94
     0.12%  translator  perf-29433.map       [.] src_0x1925b4
     0.12%  translator  perf-29433.map       [.] src_0x603d0
     0.12%  translator  perf-29433.map       [.] src_0x2a3f8c
     0.11%  translator  perf-29433.map       [.] src_0x26780
     0.11%  translator  perf-29433.map       [.] src_0x9f63c
     0.11%  translator  perf-29433.map       [.] src_0x95864
     0.11%  translator  perf-29433.map       [.] src_0x18a394
     0.11%  translator  perf-29433.map       [.] src_0x2a5730
     0.11%  translator  perf-29433.map       [.] src_0x18a2fc
     0.11%  translator  perf-29433.map       [.] src_0x95af4
     0.11%  translator  perf-29433.map       [.] src_0x19b6f8
     0.11%  translator  perf-29433.map       [.] src_0x2a4e0c
     0.11%  translator  perf-29433.map       [.] src_0x9d1c4
     0.11%  translator  perf-29433.map       [.] src_0x2d534
     0.11%  translator  perf-29433.map       [.] src_0x26444
     0.11%  translator  perf-29433.map       [.] src_0x2a4e74
     0.11%  translator  perf-29433.map       [.] src_0x286c8
     0.11%  translator  perf-29433.map       [.] src_0x603d8
     0.11%  translator  perf-29433.map       [.] src_0xc0f88
     0.11%  translator  perf-29433.map       [.] src_0x261c8
     0.11%  translator  perf-29433.map       [.] src_0x261a0
     0.11%  translator  perf-29433.map       [.] src_0x9f414
     0.11%  translator  perf-29433.map       [.] src_0x26418
     0.11%  translator  perf-29433.map       [.] src_0x6039c
     0.11%  translator  perf-29433.map       [.] src_0x9d124
     0.11%  translator  perf-29433.map       [.] src_0x192600
     0.11%  translator  perf-29433.map       [.] src_0x9e270
     0.11%  translator  perf-29433.map       [.] src_0x9e13c
     0.11%  translator  perf-29433.map       [.] src_0x137e1c
     0.11%  translator  perf-29433.map       [.] src_0x19260c
     0.11%  translator  perf-29433.map       [.] src_0x26674
     0.11%  translator  perf-29433.map       [.] src_0x1a1010
     0.11%  translator  perf-29433.map       [.] src_0x192608
     0.11%  translator  perf-29433.map       [.] src_0x19b8c4
     0.11%  translator  perf-29433.map       [.] src_0x9e10c
     0.11%  translator  perf-29433.map       [.] src_0x9e170
     0.11%  translator  perf-29433.map       [.] src_0x9e190
     0.11%  translator  perf-29433.map       [.] src_0x262f0c
     0.11%  translator  perf-29433.map       [.] src_0x29e968
     0.11%  translator  perf-29433.map       [.] src_0x118b14
     0.11%  translator  perf-29433.map       [.] src_0x9d214
     0.11%  translator  perf-29433.map       [.] src_0x29e928
     0.11%  translator  perf-29433.map       [.] src_0x95858
     0.11%  translator  perf-29433.map       [.] src_0x5e284
     0.10%  translator  perf-29433.map       [.] src_0x261b4
     0.10%  translator  perf-29433.map       [.] src_0x9e2a8
     0.10%  translator  perf-29433.map       [.] src_0x2a4e04
     0.10%  translator  perf-29433.map       [.] src_0x26794
     0.10%  translator  perf-29433.map       [.] src_0x61498
     0.10%  translator  perf-29433.map       [.] src_0x2d5b8
     0.10%  translator  perf-29433.map       [.] src_0xf004c
     0.10%  translator  perf-29433.map       [.] src_0x263d3c
     0.10%  translator  perf-29433.map       [.] src_0x4d5f0
     0.10%  translator  perf-29433.map       [.] src_0x614ec
     0.10%  translator  perf-29433.map       [.] src_0x29e94c
     0.10%  translator  perf-29433.map       [.] src_0x9d168
     0.10%  translator  perf-29433.map       [.] src_0x18a734
     0.10%  translator  perf-29433.map       [.] src_0x9588c
     0.10%  translator  perf-29433.map       [.] src_0x9e20c
     0.10%  translator  perf-29433.map       [.] src_0x26390
     0.10%  translator  perf-29433.map       [.] src_0xf01b0
     0.10%  translator  perf-29433.map       [.] src_0x9e1f0
     0.10%  translator  perf-29433.map       [.] src_0x1937d8
     0.10%  translator  perf-29433.map       [.] src_0x9e1dc
     0.10%  translator  perf-29433.map       [.] src_0x192574
     0.10%  translator  perf-29433.map       [.] src_0xc1008
     0.10%  translator  perf-29433.map       [.] src_0x18a5a8
     0.10%  translator  perf-29433.map       [.] src_0x5e2a8
     0.10%  translator  perf-29433.map       [.] src_0x193674
     0.10%  translator  perf-29433.map       [.] src_0x17be34
     0.10%  translator  perf-29433.map       [.] src_0x262494
     0.10%  translator  perf-29433.map       [.] src_0x1936a8
     0.10%  translator  perf-29433.map       [.] src_0xefdd0
     0.10%  translator  perf-29433.map       [.] src_0x9e1d0
     0.10%  translator  perf-29433.map       [.] src_0x5e250
     0.10%  translator  perf-29433.map       [.] src_0x4d64c
     0.09%  translator  perf-29433.map       [.] src_0x9de90
     0.09%  translator  perf-29433.map       [.] src_0x35bc0
     0.09%  translator  perf-29433.map       [.] src_0x1a0fcc
     0.09%  translator  perf-29433.map       [.] src_0x266d0
     0.09%  translator  perf-29433.map       [.] src_0x2a1a3c
     0.09%  translator  perf-29433.map       [.] src_0x9e150
     0.09%  translator  perf-29433.map       [.] src_0x1a0da8
     0.09%  translator  perf-29433.map       [.] src_0xc1124
     0.09%  translator  perf-29433.map       [.] src_0xc0fcc
     0.09%  translator  perf-29433.map       [.] src_0x5e374
     0.09%  translator  perf-29433.map       [.] src_0x9e2e0
     0.09%  translator  perf-29433.map       [.] src_0x1925cc
     0.09%  translator  perf-29433.map       [.] src_0x1925f8
     0.09%  translator  perf-29433.map       [.] src_0x614e4
     0.09%  translator  perf-29433.map       [.] src_0x5e3dc
     0.09%  translator  perf-29433.map       [.] src_0x2d5f4
     0.09%  translator  perf-29433.map       [.] src_0x1a0df4
     0.09%  translator  perf-29433.map       [.] src_0x263b5c
     0.09%  translator  perf-29433.map       [.] src_0x4d550
     0.09%  translator  perf-29433.map       [.] src_0x9d1ec
     0.09%  translator  perf-29433.map       [.] src_0x603f4
     0.09%  translator  perf-29433.map       [.] src_0x29ea34
     0.09%  translator  perf-29433.map       [.] src_0x263a80
     0.09%  translator  perf-29433.map       [.] src_0x9f658
     0.09%  translator  perf-29433.map       [.] src_0x263214
     0.09%  translator  perf-29433.map       [.] src_0x958b4
     0.09%  translator  perf-29433.map       [.] src_0xc1158
     0.09%  translator  perf-29433.map       [.] src_0xc0ff0
     0.09%  translator  perf-29433.map       [.] src_0x29ff94
     0.09%  translator  perf-29433.map       [.] src_0x614a4
     0.09%  translator  perf-29433.map       [.] src_0x261a8
     0.09%  translator  perf-29433.map       [.] src_0x262edc
     0.09%  translator  perf-29433.map       [.] src_0x192634
     0.09%  translator  perf-29433.map       [.] src_0x18ec28
     0.09%  translator  perf-29433.map       [.] src_0x9e2d0
     0.09%  translator  perf-29433.map       [.] src_0x137dcc
     0.09%  translator  perf-29433.map       [.] src_0x2a5760
     0.09%  translator  perf-29433.map       [.] src_0x2640c
     0.09%  translator  perf-29433.map       [.] src_0x29e940
     0.09%  translator  perf-29433.map       [.] src_0x19261c
     0.09%  translator  [kernel.kallsyms]    [k] prepare_exit_to_usermode
     0.09%  translator  perf-29433.map       [.] src_0x25384
     0.09%  translator  perf-29433.map       [.] src_0x4d564
     0.09%  translator  perf-29433.map       [.] src_0x2a2114
     0.09%  translator  perf-29433.map       [.] src_0xc0d6c
     0.09%  translator  perf-29433.map       [.] src_0x193958
     0.09%  translator  perf-29433.map       [.] src_0x263a4c
     0.09%  translator  perf-29433.map       [.] src_0x4d5dc
     0.08%  translator  perf-29433.map       [.] src_0x9e0fc
     0.08%  translator  perf-29433.map       [.] src_0x4d638
     0.08%  translator  perf-29433.map       [.] src_0x2a56f4
     0.08%  translator  perf-29433.map       [.] src_0x262f08
     0.08%  translator  perf-29433.map       [.] src_0x2a39a8
     0.08%  translator  perf-29433.map       [.] src_0x1936c8
     0.08%  translator  perf-29433.map       [.] src_0x264a0
     0.08%  translator  perf-29433.map       [.] src_0x9e1a0
     0.08%  translator  perf-29433.map       [.] src_0x1a0d80
     0.08%  translator  perf-29433.map       [.] src_0x1aa004
     0.08%  translator  perf-29433.map       [.] src_0x2a1984
     0.08%  translator  perf-29433.map       [.] src_0x2a5820
     0.08%  translator  perf-29433.map       [.] src_0x2631f4
     0.08%  translator  perf-29433.map       [.] src_0x2631dc
     0.08%  translator  perf-29433.map       [.] src_0x26774
     0.08%  translator  perf-29433.map       [.] src_0x9d20c
     0.08%  translator  perf-29433.map       [.] src_0x9e138
     0.08%  translator  perf-29433.map       [.] src_0x192c08
     0.08%  translator  perf-29433.map       [.] src_0x262efc
     0.08%  translator  perf-29433.map       [.] src_0x9e120
     0.08%  translator  perf-29433.map       [.] src_0x61528
     0.08%  translator  perf-29433.map       [.] src_0x9e2d4
     0.08%  translator  perf-29433.map       [.] src_0x9e260
     0.08%  translator  perf-29433.map       [.] src_0x9e2b8
     0.08%  translator  perf-29433.map       [.] src_0x26c30
     0.08%  translator  perf-29433.map       [.] src_0x2a5800
     0.08%  translator  perf-29433.map       [.] src_0x193a2c
     0.08%  translator  perf-29433.map       [.] src_0xc1170
     0.08%  translator  perf-29433.map       [.] src_0x19a464
     0.08%  translator  perf-29433.map       [.] src_0x9d150
     0.08%  translator  perf-29433.map       [.] src_0x4bde0
     0.08%  translator  perf-29433.map       [.] src_0x194a88
     0.08%  translator  perf-29433.map       [.] src_0x2a56b0
     0.08%  translator  perf-29433.map       [.] src_0x18a720
     0.08%  translator  perf-29433.map       [.] src_0x119140
     0.08%  translator  perf-29433.map       [.] src_0xc0fc8
     0.08%  translator  perf-29433.map       [.] src_0x19f490
     0.08%  translator  perf-29433.map       [.] src_0x26c78
     0.08%  translator  perf-29433.map       [.] src_0x614ac
     0.08%  translator  perf-29433.map       [.] src_0x29e918
     0.08%  translator  perf-29433.map       [.] src_0x26754
     0.08%  translator  perf-29433.map       [.] src_0x9e1cc
     0.08%  translator  perf-29433.map       [.] src_0x9e298
     0.08%  translator  perf-29433.map       [.] src_0x18c910
     0.08%  translator  perf-29433.map       [.] src_0x9e14c
     0.08%  translator  perf-29433.map       [.] src_0x1a0ff4
     0.08%  translator  perf-29433.map       [.] src_0x19a48c
     0.08%  translator  perf-29433.map       [.] src_0x19b658
     0.08%  translator  perf-29433.map       [.] src_0x29e998
     0.08%  translator  perf-29433.map       [.] src_0x194568
     0.08%  translator  perf-29433.map       [.] src_0xf0064
     0.07%  translator  perf-29433.map       [.] src_0x19b890
     0.07%  translator  perf-29433.map       [.] src_0x29e9cc
     0.07%  translator  perf-29433.map       [.] src_0x19b8ec
     0.07%  translator  perf-29433.map       [.] src_0x2a56f8
     0.07%  translator  perf-29433.map       [.] src_0x26198
     0.07%  translator  perf-29433.map       [.] src_0x29ea2c
     0.07%  translator  perf-29433.map       [.] src_0x5e27c
     0.07%  translator  perf-29433.map       [.] src_0x13db50
     0.07%  translator  perf-29433.map       [.] src_0x4d534
     0.07%  translator  perf-29433.map       [.] src_0x4be2c
     0.07%  translator  perf-29433.map       [.] src_0x193a00
     0.07%  translator  perf-29433.map       [.] src_0x9d198
     0.07%  translator  perf-29433.map       [.] src_0x4d664
     0.07%  translator  perf-29433.map       [.] src_0x9e168
     0.07%  translator  perf-29433.map       [.] src_0x19bdbc
     0.07%  translator  perf-29433.map       [.] src_0x194a64
     0.07%  translator  perf-29433.map       [.] src_0x9d19c
     0.07%  translator  perf-29433.map       [.] src_0x4bd80
     0.07%  translator  perf-29433.map       [.] src_0xc0d9c
     0.07%  translator  perf-29433.map       [.] src_0x19b7e8
     0.07%  translator  perf-29433.map       [.] src_0x1158c4
     0.07%  translator  perf-29433.map       [.] src_0x29ea44
     0.07%  translator  perf-29433.map       [.] src_0x2a5758
     0.07%  translator  perf-29433.map       [.] src_0x193aa8
     0.07%  translator  perf-29433.map       [.] src_0x4bd9c
     0.07%  translator  perf-29433.map       [.] src_0x2a21ac
     0.07%  translator  perf-29433.map       [.] src_0x193c44
     0.07%  translator  perf-29433.map       [.] src_0x19f4c8
     0.07%  translator  perf-29433.map       [.] src_0x19b680
     0.07%  translator  perf-29433.map       [.] src_0x6035c
     0.07%  translator  perf-29433.map       [.] src_0x263024
     0.07%  translator  perf-29433.map       [.] src_0x6151c
     0.07%  translator  perf-29433.map       [.] src_0x189ec0
     0.07%  translator  perf-29433.map       [.] src_0x5e2a0
     0.07%  translator  perf-29433.map       [.] src_0x5e3d4
     0.07%  translator  perf-29433.map       [.] src_0x4bd64
     0.07%  translator  perf-29433.map       [.] src_0x193a6c
     0.07%  translator  perf-29433.map       [.] src_0x2a1ac0
     0.07%  translator  perf-29433.map       [.] src_0x2a4e30
     0.07%  translator  perf-29433.map       [.] src_0x18ec50
     0.07%  translator  perf-29433.map       [.] src_0x19b6ec
     0.07%  translator  perf-29433.map       [.] src_0x4bdb0
     0.07%  translator  perf-29433.map       [.] src_0x115858
     0.07%  translator  perf-29433.map       [.] src_0x95b04
     0.07%  translator  perf-29433.map       [.] src_0x2d52c
     0.07%  translator  perf-29433.map       [.] src_0x19b924
     0.07%  translator  perf-29433.map       [.] src_0x263b4c
     0.07%  translator  perf-29433.map       [.] src_0x29ff7c
     0.07%  translator  perf-29433.map       [.] src_0x19a484
     0.07%  translator  perf-29433.map       [.] src_0x29eb14
     0.07%  translator  perf-29433.map       [.] src_0x4bd7c
     0.07%  translator  perf-29433.map       [.] src_0x1936d0
     0.06%  translator  perf-29433.map       [.] src_0x193a3c
     0.06%  translator  perf-29433.map       [.] src_0x19b698
     0.06%  translator  perf-29433.map       [.] src_0x2d570
     0.06%  translator  perf-29433.map       [.] src_0x263e8
     0.06%  translator  perf-29433.map       [.] src_0x19b920
     0.06%  translator  perf-29433.map       [.] src_0x194600
     0.06%  translator  perf-29433.map       [.] src_0x1a1000
     0.06%  translator  perf-29433.map       [.] src_0x1945e4
     0.06%  translator  perf-29433.map       [.] src_0x9e64c
     0.06%  translator  perf-29433.map       [.] src_0x9dee0
     0.06%  translator  perf-29433.map       [.] src_0x19f400
     0.06%  translator  perf-29433.map       [.] src_0x1945ec
     0.06%  translator  perf-29433.map       [.] src_0x4bd8c
     0.06%  translator  perf-29433.map       [.] src_0x1940d4
     0.06%  translator  perf-29433.map       [.] src_0x9e178
     0.06%  translator  perf-29433.map       [.] src_0x193ff0
     0.06%  translator  perf-29433.map       [.] src_0xefdc0
     0.06%  translator  perf-29433.map       [.] src_0x192c28
     0.06%  translator  perf-29433.map       [.] src_0x263c54
     0.06%  translator  perf-29433.map       [.] src_0xc0ff8
     0.06%  translator  perf-29433.map       [.] src_0x193a50
     0.06%  translator  perf-29433.map       [.] src_0x29ea50
     0.06%  translator  perf-29433.map       [.] src_0x193944
     0.06%  translator  perf-29433.map       [.] src_0x115864
     0.06%  translator  perf-29433.map       [.] src_0x19b6dc
     0.06%  translator  perf-29433.map       [.] src_0x19b6cc
     0.06%  translator  [kernel.kallsyms]    [k] native_irq_return_iret
     0.06%  translator  perf-29433.map       [.] src_0x29ee50
     0.06%  translator  perf-29433.map       [.] src_0x4bdd4
     0.06%  translator  perf-29433.map       [.] src_0x193a70
     0.06%  translator  perf-29433.map       [.] src_0x263c64
     0.06%  translator  perf-29433.map       [.] src_0x4d5f4
     0.06%  translator  perf-29433.map       [.] src_0x29e910
