# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10M of event 'cycles:ppp'
# Event count (approx.): 17436254619585
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.21%  translator  perf-32261.map     [.] src_0x19458
     0.21%  translator  perf-32261.map     [.] src_0x19fc8
     0.21%  translator  perf-32261.map     [.] src_0x1dfc4
     0.21%  translator  perf-32261.map     [.] src_0x194c0
     0.21%  translator  perf-32261.map     [.] src_0x1a014
     0.21%  translator  perf-32261.map     [.] src_0x17fc0
     0.21%  translator  perf-32261.map     [.] src_0x13628
     0.21%  translator  perf-32261.map     [.] src_0x20ce0
     0.21%  translator  perf-32261.map     [.] src_0x108e0
     0.21%  translator  perf-32261.map     [.] src_0x194b4
     0.21%  translator  perf-32261.map     [.] src_0x21864
     0.20%  translator  perf-32261.map     [.] src_0x139ac
     0.20%  translator  perf-32261.map     [.] src_0x19490
     0.20%  translator  perf-32261.map     [.] src_0x1c580
     0.20%  translator  perf-32261.map     [.] src_0x198e4
     0.20%  translator  perf-32261.map     [.] src_0x1e430
     0.20%  translator  perf-32261.map     [.] src_0x18bf8
     0.20%  translator  perf-32261.map     [.] src_0x19474
     0.20%  translator  perf-32261.map     [.] src_0x1c480
     0.20%  translator  perf-32261.map     [.] src_0x193b0
     0.20%  translator  perf-32261.map     [.] src_0x19488
     0.20%  translator  perf-32261.map     [.] src_0x194e8
     0.20%  translator  perf-32261.map     [.] src_0x18ba0
     0.20%  translator  perf-32261.map     [.] src_0x194d4
     0.19%  translator  perf-32261.map     [.] src_0x18218
     0.19%  translator  perf-32261.map     [.] src_0x189d4
     0.19%  translator  perf-32261.map     [.] src_0x13a08
     0.19%  translator  perf-32261.map     [.] src_0x194dc
     0.19%  translator  perf-32261.map     [.] src_0x1e018
     0.19%  translator  perf-32261.map     [.] src_0x1ce74
     0.19%  translator  perf-32261.map     [.] src_0x194c8
     0.19%  translator  perf-32261.map     [.] src_0x13a10
     0.19%  translator  perf-32261.map     [.] src_0x194ac
     0.19%  translator  perf-32261.map     [.] src_0x1d07c
     0.19%  translator  perf-32261.map     [.] src_0x1b580
     0.19%  translator  perf-32261.map     [.] src_0x195ac
     0.19%  translator  perf-32261.map     [.] src_0x10cd0
     0.19%  translator  perf-32261.map     [.] src_0x1c6a0
     0.19%  translator  perf-32261.map     [.] src_0x1e1e8
     0.19%  translator  perf-32261.map     [.] src_0x10f50
     0.19%  translator  perf-32261.map     [.] src_0x1cf40
     0.19%  translator  perf-32261.map     [.] src_0x20ecc
     0.19%  translator  perf-32261.map     [.] src_0x18ae8
     0.18%  translator  perf-32261.map     [.] src_0x17d44
     0.18%  translator  perf-32261.map     [.] src_0x10b34
     0.18%  translator  perf-32261.map     [.] src_0x181f8
     0.18%  translator  perf-32261.map     [.] src_0x132d8
     0.18%  translator  perf-32261.map     [.] src_0x19ac4
     0.18%  translator  perf-32261.map     [.] src_0x19b90
     0.18%  translator  perf-32261.map     [.] src_0x19cb0
     0.18%  translator  perf-32261.map     [.] src_0x19414
     0.18%  translator  perf-32261.map     [.] src_0x176ec
     0.18%  translator  perf-32261.map     [.] src_0x1087c
     0.18%  translator  perf-32261.map     [.] src_0x139fc
     0.18%  translator  perf-32261.map     [.] src_0x193f0
     0.18%  translator  perf-32261.map     [.] src_0x194a4
     0.18%  translator  perf-32261.map     [.] src_0x19ed8
     0.18%  translator  perf-32261.map     [.] src_0x19be8
     0.18%  translator  perf-32261.map     [.] src_0x19398
     0.18%  translator  perf-32261.map     [.] src_0x18224
     0.18%  translator  perf-32261.map     [.] src_0x174d0
     0.18%  translator  perf-32261.map     [.] src_0x10904
     0.18%  translator  perf-32261.map     [.] src_0x19550
     0.18%  translator  perf-32261.map     [.] src_0x133a4
     0.18%  translator  perf-32261.map     [.] src_0x1b5b4
     0.18%  translator  perf-32261.map     [.] src_0x1a0d4
     0.17%  translator  perf-32261.map     [.] src_0x18b3c
     0.17%  translator  perf-32261.map     [.] src_0x178b8
     0.17%  translator  perf-32261.map     [.] src_0x19468
     0.17%  translator  perf-32261.map     [.] src_0x19344
     0.17%  translator  perf-32261.map     [.] src_0x19358
     0.17%  translator  perf-32261.map     [.] src_0x18cb8
     0.17%  translator  perf-32261.map     [.] src_0x1b9c8
     0.17%  translator  perf-32261.map     [.] src_0x194fc
     0.17%  translator  perf-32261.map     [.] src_0x1c2ec
     0.17%  translator  perf-32261.map     [.] src_0x18ad4
     0.17%  translator  perf-32261.map     [.] src_0x10920
     0.17%  translator  perf-32261.map     [.] src_0x108c0
     0.17%  translator  perf-32261.map     [.] src_0x13910
     0.17%  translator  perf-32261.map     [.] src_0x136a4
     0.17%  translator  perf-32261.map     [.] src_0x18b4c
     0.17%  translator  perf-32261.map     [.] src_0x17754
     0.17%  translator  perf-32261.map     [.] src_0x20dfc
     0.17%  translator  perf-32261.map     [.] src_0x197d4
     0.17%  translator  perf-32261.map     [.] src_0x108a0
     0.17%  translator  perf-32261.map     [.] src_0x10cb0
     0.17%  translator  perf-32261.map     [.] src_0x109c4
     0.16%  translator  perf-32261.map     [.] src_0x20ea8
     0.16%  translator  perf-32261.map     [.] src_0x1dfb4
     0.16%  translator  perf-32261.map     [.] src_0x10cf4
     0.16%  translator  perf-32261.map     [.] src_0x10bc8
     0.16%  translator  perf-32261.map     [.] src_0x1bcd8
     0.16%  translator  perf-32261.map     [.] src_0x109a4
     0.16%  translator  perf-32261.map     [.] src_0x17da8
     0.16%  translator  perf-32261.map     [.] src_0x10b60
     0.16%  translator  perf-32261.map     [.] src_0x1df24
     0.16%  translator  perf-32261.map     [.] src_0x196e8
     0.16%  translator  perf-32261.map     [.] src_0x1df18
     0.16%  translator  perf-32261.map     [.] src_0x19c0c
     0.16%  translator  perf-32261.map     [.] src_0x20d70
     0.16%  translator  perf-32261.map     [.] src_0x18b2c
     0.16%  translator  perf-32261.map     [.] src_0x1c568
     0.16%  translator  perf-32261.map     [.] src_0x18840
     0.16%  translator  perf-32261.map     [.] src_0x1c534
     0.16%  translator  perf-32261.map     [.] src_0x19fe8
     0.16%  translator  perf-32261.map     [.] src_0x21330
     0.16%  translator  perf-32261.map     [.] src_0x20d64
     0.16%  translator  perf-32261.map     [.] src_0x20e08
     0.15%  translator  perf-32261.map     [.] src_0x18a80
     0.15%  translator  perf-32261.map     [.] src_0x10944
     0.15%  translator  perf-32261.map     [.] src_0x10a08
     0.15%  translator  perf-32261.map     [.] src_0x10980
     0.15%  translator  perf-32261.map     [.] src_0x20d58
     0.15%  translator  perf-32261.map     [.] src_0x1c428
     0.15%  translator  perf-32261.map     [.] src_0x1c680
     0.15%  translator  perf-32261.map     [.] src_0x179ac
     0.15%  translator  perf-32261.map     [.] src_0x19d3c
     0.15%  translator  perf-32261.map     [.] src_0x10c68
     0.15%  translator  perf-32261.map     [.] src_0x1e1e0
     0.15%  translator  perf-32261.map     [.] src_0x10d10
     0.15%  translator  perf-32261.map     [.] src_0x20e14
     0.15%  translator  perf-32261.map     [.] src_0x20e2c
     0.15%  translator  perf-32261.map     [.] src_0x19aec
     0.15%  translator  perf-32261.map     [.] src_0x1c67c
     0.15%  translator  perf-32261.map     [.] src_0x10b88
     0.15%  translator  perf-32261.map     [.] src_0x18a0c
     0.15%  translator  perf-32261.map     [.] src_0x17588
     0.15%  translator  perf-32261.map     [.] src_0x162b0
     0.15%  translator  perf-32261.map     [.] src_0x1df34
     0.15%  translator  perf-32261.map     [.] src_0x1d03c
     0.15%  translator  perf-32261.map     [.] src_0x19968
     0.15%  translator  perf-32261.map     [.] src_0x20e7c
     0.15%  translator  perf-32261.map     [.] src_0x20e20
     0.15%  translator  perf-32261.map     [.] src_0x19bdc
     0.15%  translator  perf-32261.map     [.] src_0x1c350
     0.15%  translator  perf-32261.map     [.] src_0x20f4c
     0.15%  translator  perf-32261.map     [.] src_0x1e3c4
     0.14%  translator  perf-32261.map     [.] src_0x17fb4
     0.14%  translator  perf-32261.map     [.] src_0x19440
     0.14%  translator  perf-32261.map     [.] src_0x10a48
     0.14%  translator  perf-32261.map     [.] src_0x21400
     0.14%  translator  perf-32261.map     [.] src_0x188e4
     0.14%  translator  perf-32261.map     [.] src_0x10c90
     0.14%  translator  perf-32261.map     [.] src_0x1a100
     0.14%  translator  perf-32261.map     [.] src_0x1dfcc
     0.14%  translator  perf-32261.map     [.] src_0x1c8e8
     0.14%  translator  perf-32261.map     [.] src_0x1e43c
     0.14%  translator  perf-32261.map     [.] src_0x18980
     0.14%  translator  perf-32261.map     [.] src_0x1decc
     0.14%  translator  perf-32261.map     [.] src_0x10ba8
     0.14%  translator  perf-32261.map     [.] src_0x1caa0
     0.14%  translator  perf-32261.map     [.] src_0x18c04
     0.14%  translator  perf-32261.map     [.] src_0x10a24
     0.14%  translator  perf-32261.map     [.] src_0x1cb5c
     0.14%  translator  perf-32261.map     [.] src_0x10c2c
     0.14%  translator  perf-32261.map     [.] src_0x20d7c
     0.14%  translator  perf-32261.map     [.] src_0x10bec
     0.14%  translator  perf-32261.map     [.] src_0x19db0
     0.14%  translator  perf-32261.map     [.] src_0x1bbc4
     0.14%  translator  perf-32261.map     [.] src_0x19c80
     0.14%  translator  perf-32261.map     [.] src_0x20fac
     0.14%  translator  perf-32261.map     [.] src_0x19dc0
     0.14%  translator  perf-32261.map     [.] src_0x16608
     0.14%  translator  perf-32261.map     [.] src_0x16588
     0.14%  translator  perf-32261.map     [.] src_0x1c6b0
     0.14%  translator  perf-32261.map     [.] src_0x19774
     0.14%  translator  perf-32261.map     [.] src_0x17d50
     0.14%  translator  perf-32261.map     [.] src_0x1899c
     0.14%  translator  perf-32261.map     [.] src_0x188d0
     0.14%  translator  perf-32261.map     [.] src_0x10f38
     0.14%  translator  perf-32261.map     [.] src_0x1666c
     0.13%  translator  perf-32261.map     [.] src_0x1e444
     0.13%  translator  perf-32261.map     [.] src_0x1d018
     0.13%  translator  perf-32261.map     [.] src_0x19b18
     0.13%  translator  perf-32261.map     [.] src_0x1c5e4
     0.13%  translator  perf-32261.map     [.] src_0x1a00c
     0.13%  translator  perf-32261.map     [.] src_0x18a14
     0.13%  translator  perf-32261.map     [.] src_0x189a8
     0.13%  translator  perf-32261.map     [.] src_0x18914
     0.13%  translator  perf-32261.map     [.] src_0x20d88
     0.13%  translator  perf-32261.map     [.] src_0x18c58
     0.13%  translator  perf-32261.map     [.] src_0x10d34
     0.13%  translator  perf-32261.map     [.] src_0x198bc
     0.13%  translator  perf-32261.map     [.] src_0x1893c
     0.13%  translator  perf-32261.map     [.] src_0x18a3c
     0.13%  translator  perf-32261.map     [.] src_0x174f0
     0.13%  translator  perf-32261.map     [.] src_0x1e344
     0.13%  translator  perf-32261.map     [.] src_0x1dd64
     0.13%  translator  perf-32261.map     [.] src_0x199dc
     0.13%  translator  perf-32261.map     [.] src_0x1e550
     0.13%  translator  perf-32261.map     [.] src_0x10fa0
     0.13%  translator  perf-32261.map     [.] src_0x19420
     0.13%  translator  perf-32261.map     [.] src_0x18830
     0.13%  translator  perf-32261.map     [.] src_0x1dfc0
     0.13%  translator  perf-32261.map     [.] src_0x1a104
     0.13%  translator  perf-32261.map     [.] src_0x18a04
     0.13%  translator  perf-32261.map     [.] src_0x20e58
     0.13%  translator  perf-32261.map     [.] src_0x10fec
     0.13%  translator  perf-32261.map     [.] src_0x198c8
     0.13%  translator  perf-32261.map     [.] src_0x17728
     0.13%  translator  perf-32261.map     [.] src_0x10fc0
     0.13%  translator  perf-32261.map     [.] src_0x19b60
     0.13%  translator  perf-32261.map     [.] src_0x1e09c
     0.13%  translator  perf-32261.map     [.] src_0x18af8
     0.13%  translator  perf-32261.map     [.] src_0x19848
     0.13%  translator  perf-32261.map     [.] src_0x1e450
     0.13%  translator  perf-32261.map     [.] src_0x10c08
     0.13%  translator  perf-32261.map     [.] src_0x1648c
     0.12%  translator  perf-32261.map     [.] src_0x11018
     0.12%  translator  perf-32261.map     [.] src_0x2127c
     0.12%  translator  perf-32261.map     [.] src_0x21224
     0.12%  translator  perf-32261.map     [.] src_0x1c34c
     0.12%  translator  perf-32261.map     [.] src_0x1d030
     0.12%  translator  perf-32261.map     [.] src_0x1994c
     0.12%  translator  perf-32261.map     [.] src_0x199d0
     0.12%  translator  perf-32261.map     [.] src_0x20dec
     0.12%  translator  perf-32261.map     [.] src_0x18d38
     0.12%  translator  perf-32261.map     [.] src_0x18b5c
     0.12%  translator  perf-32261.map     [.] src_0x18884
     0.12%  translator  perf-32261.map     [.] src_0x1c930
     0.12%  translator  perf-32261.map     [.] src_0x19c38
     0.12%  translator  perf-32261.map     [.] src_0x18dc0
     0.12%  translator  perf-32261.map     [.] src_0x136e4
     0.12%  translator  perf-32261.map     [.] src_0x18d80
     0.12%  translator  perf-32261.map     [.] src_0x1d06c
     0.12%  translator  perf-32261.map     [.] src_0x1658c
     0.12%  translator  perf-32261.map     [.] src_0x1c458
     0.12%  translator  perf-32261.map     [.] src_0x20fb4
     0.12%  translator  perf-32261.map     [.] src_0x174c0
     0.12%  translator  perf-32261.map     [.] src_0x21428
     0.12%  translator  perf-32261.map     [.] src_0x19ca0
     0.12%  translator  perf-32261.map     [.] src_0x1991c
     0.12%  translator  perf-32261.map     [.] src_0x11024
     0.12%  translator  perf-32261.map     [.] src_0x20ddc
     0.12%  translator  perf-32261.map     [.] src_0x139f8
     0.12%  translator  perf-32261.map     [.] src_0x4887c
     0.12%  translator  perf-32261.map     [.] src_0x1983c
     0.12%  translator  perf-32261.map     [.] src_0x1c9cc
     0.12%  translator  perf-32261.map     [.] src_0x165e4
     0.12%  translator  perf-32261.map     [.] src_0x19dd0
     0.12%  translator  perf-32261.map     [.] src_0x1e428
     0.12%  translator  perf-32261.map     [.] src_0x136e0
     0.11%  translator  perf-32261.map     [.] src_0x19850
     0.11%  translator  perf-32261.map     [.] src_0x1e160
     0.11%  translator  perf-32261.map     [.] src_0x1c52c
     0.11%  translator  perf-32261.map     [.] src_0x17ea0
     0.11%  translator  perf-32261.map     [.] src_0x199ec
     0.11%  translator  perf-32261.map     [.] src_0x1df64
     0.11%  translator  perf-32261.map     [.] src_0x1980c
     0.11%  translator  perf-32261.map     [.] src_0x18860
     0.11%  translator  perf-32261.map     [.] src_0x18dbc
     0.11%  translator  perf-32261.map     [.] src_0x1c49c
     0.11%  translator  perf-32261.map     [.] src_0x20d94
     0.11%  translator  perf-32261.map     [.] src_0x165b4
     0.11%  translator  perf-32261.map     [.] src_0x1e090
     0.11%  translator  perf-32261.map     [.] src_0x1c3f0
     0.11%  translator  perf-32261.map     [.] src_0x1890c
     0.11%  translator  perf-32261.map     [.] src_0x20f74
     0.11%  translator  perf-32261.map     [.] src_0x195cc
     0.11%  translator  perf-32261.map     [.] src_0x1e7d0
     0.11%  translator  perf-32261.map     [.] src_0x165ec
     0.11%  translator  perf-32261.map     [.] src_0x1cf38
     0.11%  translator  perf-32261.map     [.] src_0x18b08
     0.11%  translator  perf-32261.map     [.] src_0x1e920
     0.11%  translator  perf-32261.map     [.] src_0x1cb60
     0.11%  translator  perf-32261.map     [.] src_0x10f20
     0.11%  translator  perf-32261.map     [.] src_0x195dc
     0.11%  translator  perf-32261.map     [.] src_0x19cfc
     0.11%  translator  perf-32261.map     [.] src_0x19c70
     0.11%  translator  perf-32261.map     [.] src_0x19c90
     0.11%  translator  perf-32261.map     [.] src_0x1a024
     0.11%  translator  perf-32261.map     [.] src_0x18d0c
     0.11%  translator  perf-32261.map     [.] src_0x2131c
     0.11%  translator  perf-32261.map     [.] src_0x19438
     0.11%  translator  perf-32261.map     [.] src_0x16614
     0.11%  translator  perf-32261.map     [.] src_0x18c64
     0.11%  translator  perf-32261.map     [.] src_0x20f58
     0.10%  translator  perf-32261.map     [.] src_0x198d4
     0.10%  translator  perf-32261.map     [.] src_0x18a70
     0.10%  translator  perf-32261.map     [.] src_0x1cb64
     0.10%  translator  perf-32261.map     [.] src_0x1e13c
     0.10%  translator  perf-32261.map     [.] src_0x199f8
     0.10%  translator  perf-32261.map     [.] src_0x18b6c
     0.10%  translator  perf-32261.map     [.] src_0x1c9f8
     0.10%  translator  perf-32261.map     [.] src_0x19b70
     0.10%  translator  perf-32261.map     [.] src_0x18bac
     0.10%  translator  perf-32261.map     [.] src_0x1c7c8
     0.10%  translator  perf-32261.map     [.] src_0x1c968
     0.10%  translator  perf-32261.map     [.] src_0x1995c
     0.10%  translator  perf-32261.map     [.] src_0x18a9c
     0.10%  translator  perf-32261.map     [.] src_0x16594
     0.10%  translator  perf-32261.map     [.] src_0x213fc
     0.10%  translator  perf-32261.map     [.] src_0x20e38
     0.10%  translator  perf-32261.map     [.] src_0x1c640
     0.10%  translator  perf-32261.map     [.] src_0x1d1e8
     0.10%  translator  perf-32261.map     [.] src_0x187c0
     0.10%  translator  perf-32261.map     [.] src_0x1cb6c
     0.10%  translator  perf-32261.map     [.] src_0x1999c
     0.10%  translator  perf-32261.map     [.] src_0x1e130
     0.10%  translator  perf-32261.map     [.] src_0x18b90
     0.10%  translator  perf-32261.map     [.] src_0x18ea4
     0.10%  translator  perf-32261.map     [.] src_0x1a01c
     0.10%  translator  perf-32261.map     [.] src_0x1dd8c
     0.10%  translator  perf-32261.map     [.] src_0x1c794
     0.10%  translator  perf-32261.map     [.] src_0x1cba8
     0.10%  translator  perf-32261.map     [.] src_0x1d1dc
     0.10%  translator  perf-32261.map     [.] src_0x18b18
     0.10%  translator  perf-32261.map     [.] src_0x10fcc
     0.10%  translator  perf-32261.map     [.] src_0x18e6c
     0.10%  translator  perf-32261.map     [.] src_0x1bbd8
     0.10%  translator  perf-32261.map     [.] src_0x16664
     0.10%  translator  perf-32261.map     [.] src_0x18820
     0.10%  translator  perf-32261.map     [.] src_0x198b0
     0.10%  translator  perf-32261.map     [.] src_0x1e068
     0.10%  translator  perf-32261.map     [.] src_0x1c7a4
     0.10%  translator  perf-32261.map     [.] src_0x187e4
     0.10%  translator  perf-32261.map     [.] src_0x20eb4
     0.10%  translator  perf-32261.map     [.] src_0x1d118
     0.10%  translator  perf-32261.map     [.] src_0x19ae0
     0.10%  translator  perf-32261.map     [.] src_0x1987c
     0.10%  translator  perf-32261.map     [.] src_0x16634
     0.10%  translator  perf-32261.map     [.] src_0x1c9b4
     0.10%  translator  perf-32261.map     [.] src_0x18b7c
     0.10%  translator  perf-32261.map     [.] src_0x1c450
     0.10%  translator  perf-32261.map     [.] src_0x19c1c
     0.10%  translator  perf-32261.map     [.] src_0x1e36c
     0.10%  translator  perf-32261.map     [.] src_0x195d8
     0.10%  translator  perf-32261.map     [.] src_0x188c0
     0.10%  translator  perf-32261.map     [.] src_0x19740
     0.10%  translator  perf-32261.map     [.] src_0x1c7b8
     0.10%  translator  perf-32261.map     [.] src_0x18814
     0.09%  translator  perf-32261.map     [.] src_0x19b80
     0.09%  translator  perf-32261.map     [.] src_0x20e50
     0.09%  translator  perf-32261.map     [.] src_0x1c7c0
     0.09%  translator  perf-32261.map     [.] src_0x1e608
     0.09%  translator  perf-32261.map     [.] src_0x188b4
     0.09%  translator  perf-32261.map     [.] src_0x19940
     0.09%  translator  perf-32261.map     [.] src_0x196d4
     0.09%  translator  perf-32261.map     [.] src_0x20fa0
     0.09%  translator  perf-32261.map     [.] src_0x1c720
     0.09%  translator  perf-32261.map     [.] src_0x179d4
     0.09%  translator  perf-32261.map     [.] src_0x1d1ec
     0.09%  translator  perf-32261.map     [.] src_0x1e354
     0.09%  translator  perf-32261.map     [.] src_0x18ebc
     0.09%  translator  perf-32261.map     [.] src_0x1e3d0
     0.09%  translator  perf-32261.map     [.] src_0x19c50
     0.09%  translator  perf-32261.map     [.] src_0x1e120
     0.09%  translator  perf-32261.map     [.] src_0x18904
     0.09%  translator  perf-32261.map     [.] src_0x212cc
     0.09%  translator  perf-32261.map     [.] src_0x1c960
     0.09%  translator  perf-32261.map     [.] src_0x19080
     0.09%  translator  perf-32261.map     [.] src_0x1942c
     0.09%  translator  perf-32261.map     [.] src_0x20d2c
     0.09%  translator  perf-32261.map     [.] src_0x1bd08
     0.09%  translator  perf-32261.map     [.] src_0x18c80
     0.09%  translator  perf-32261.map     [.] src_0x1c5f0
     0.09%  translator  perf-32261.map     [.] src_0x189b8
     0.09%  translator  perf-32261.map     [.] src_0x20ec0
     0.09%  translator  perf-32261.map     [.] src_0x18aa8
     0.09%  translator  perf-32261.map     [.] src_0x18c30
     0.09%  translator  perf-32261.map     [.] src_0x19c00
     0.09%  translator  perf-32261.map     [.] src_0x19b3c
     0.09%  translator  perf-32261.map     [.] context_switch_load_execute
     0.08%  translator  perf-32261.map     [.] src_0x20f6c
     0.08%  translator  perf-32261.map     [.] src_0x19d58
     0.08%  translator  perf-32261.map     [.] src_0x213b8
     0.08%  translator  perf-32261.map     [.] src_0x19c60
     0.08%  translator  perf-32261.map     [.] src_0x10ff8
     0.08%  translator  perf-32261.map     [.] src_0x1e3ac
     0.08%  translator  perf-32261.map     [.] src_0x19b50
     0.08%  translator  perf-32261.map     [.] src_0x1b970
     0.08%  translator  perf-32261.map     [.] src_0x2126c
     0.08%  translator  perf-32261.map     [.] src_0x16720
     0.08%  translator  perf-32261.map     [.] src_0x1bd00
     0.08%  translator  perf-32261.map     [.] src_0x20e64
     0.08%  translator  perf-32261.map     [.] src_0x199fc
     0.08%  translator  perf-32261.map     [.] src_0x19854
     0.08%  translator  perf-32261.map     [.] src_0x215b4
     0.08%  translator  perf-32261.map     [.] src_0x2124c
     0.08%  translator  perf-32261.map     [.] src_0x19614
     0.08%  translator  perf-32261.map     [.] src_0x165bc
     0.08%  translator  perf-32261.map     [.] src_0x17750
     0.08%  translator  perf-32261.map     [.] src_0x19578
     0.08%  translator  perf-32261.map     [.] src_0x19afc
     0.08%  translator  perf-32261.map     [.] src_0x212a8
     0.08%  translator  perf-32261.map     [.] src_0x1d8ec
     0.08%  translator  perf-32261.map     [.] src_0x1cbc8
     0.08%  translator  perf-32261.map     [.] src_0x18fec
     0.08%  translator  perf-32261.map     [.] src_0x19b2c
     0.08%  translator  perf-32261.map     [.] src_0x1e908
     0.08%  translator  perf-32261.map     [.] src_0x1bcf8
     0.08%  translator  perf-32261.map     [.] src_0x1660c
     0.08%  translator  perf-32261.map     [.] src_0x167c0
     0.08%  translator  perf-32261.map     [.] src_0x162fc
     0.08%  translator  perf-32261.map     [.] src_0x19068
     0.08%  translator  perf-32261.map     [.] src_0x1e34c
     0.08%  translator  perf-32261.map     [.] src_0x211f4
     0.08%  translator  perf-32261.map     [.] src_0x1e3f0
     0.08%  translator  perf-32261.map     [.] src_0x21198
     0.08%  translator  perf-32261.map     [.] src_0x1e110
     0.08%  translator  perf-32261.map     [.] src_0x18104
     0.08%  translator  perf-32261.map     [.] src_0x10f94
     0.08%  translator  perf-32261.map     [.] src_0x212e8
     0.08%  translator  perf-32261.map     [.] src_0x1c708
     0.08%  translator  perf-32261.map     [.] src_0x1bbd0
     0.08%  translator  perf-32261.map     [.] src_0x19320
     0.08%  translator  perf-32261.map     [.] src_0x19a78
     0.08%  translator  perf-32261.map     [.] src_0x165f4
     0.08%  translator  perf-32261.map     [.] src_0x1bcd4
     0.08%  translator  perf-32261.map     [.] src_0x16504
     0.08%  translator  perf-32261.map     [.] src_0x1dd74
     0.07%  translator  perf-32261.map     [.] src_0x21238
     0.07%  translator  perf-32261.map     [.] src_0x19830
     0.07%  translator  perf-32261.map     [.] src_0x16574
     0.07%  translator  perf-32261.map     [.] src_0x16750
     0.07%  translator  perf-32261.map     [.] src_0x166ac
     0.07%  translator  perf-32261.map     [.] src_0x19620
     0.07%  translator  perf-32261.map     [.] src_0x15bd8
     0.07%  translator  perf-32261.map     [.] src_0x16354
     0.07%  translator  perf-32261.map     [.] src_0x1c78c
     0.07%  translator  perf-32261.map     [.] src_0x16744
     0.07%  translator  perf-32261.map     [.] src_0x1a044
     0.07%  translator  perf-32261.map     [.] src_0x17d8c
